zip,name,latitude,longitude
9050,"Ledeberg",51.0386,3.7446
9051,"Afsnee",51.0317,3.6655
9052,"Zwijnaarde",51.0008,3.7075
9060,"Zelzate",51.1896,3.8078
9070,"Heusden",51.0281,3.8043
9080,"Zaffelare",51.1338,3.8636
9090,"Gontrode",50.9838,3.7976
9100,"Sint-Niklaas",51.1651,4.1437
9111,"Belsele",51.146,4.0886
9112,"Sinaai-Waas",51.1579,4.0409
9120,"Kallo",51.2525,4.2755
9130,"Kieldrecht",51.2891,4.1759
9140,"Tielrode",51.113,4.1771
9150,"Bazel",51.1474,4.3013
9160,"Eksaarde",51.1488,3.9681
9170,"Sint-Gillis-Waas",51.2191,4.1237
9180,"Moerbeke-Waas",51.1741,3.93
9185,"Wachtebeke",51.1685,3.8718
9190,"Stekene",51.2099,4.0365
9200,"Appels",51.0322,4.0614
9220,"Moerzeke",51.0691,4.1614
9230,"Wetteren",51.0053,3.8834
9240,"Zele",51.0657,4.0403
9250,"Waasmunster",51.1057,4.0857
9255,"Buggenhout",51.0159,4.2017
9260,"Wichelen",51.0053,3.9768
9270,"Kalken",51.0384,3.9186
9280,"Wieze",50.9769,4.0788
9290,"Overmere",51.0469,3.9466
9300,"Aalst",50.936,4.0355
9308,"Gijzegem",50.986,4.0494
9310,"Moorsel",50.9474,4.0983
9320,"Erembodegem",50.919,4.0504
9340,"Oordegem",50.9573,3.902
9400,"Lieferinge",50.7925,4.0519
9401,"Pollare",50.8171,4.006
9402,"Meerbeke",50.8244,4.0367
9403,"Neigem",50.8027,4.0599
9404,"Aspelare",50.8419,3.9574
9406,"Outer",50.8419,3.9987
9420,"Erondegem",50.9412,3.9561
9450,"Denderhoutem",50.8723,4.0182
9451,"Kerksken",50.8907,3.9948
9470,"Denderleeuw",50.8851,4.076
9472,"Iddergem",50.8763,4.0443
9473,"Welle",50.8988,4.056
9500,"Moerbeke",50.7525,3.9172
9506,"Waarbeke",50.7776,3.968
9520,"Sint-Lievens-Houtem",50.9197,3.8623
9521,"Letterhoutem",50.9277,3.8797
9550,"Sint-Antelinks",50.8498,3.9265
9551,"Ressegem",50.8911,3.9113
9552,"Borsbeke",50.9063,3.89
9570,"Lierde",50.8041,3.844
9571,"Hemelveerdegem",50.8073,3.8576
9572,"Sint-Martens-Lierde",50.8037,3.8254
9600,"Renaix",50.7457,3.6005
9620,"Erwetegem",50.8555,3.8144
9630,"Paulatem",50.897,3.7177
9636,"Nederzwalm-Hermelgem",50.8833,3.6833
9660,"Opbrakel",50.792,3.7486
9661,"Parike",50.7849,3.7975
9667,"Sint-Kornelis-Horebeke",50.8345,3.6983
9680,"Etikhove",50.8116,3.6249
9681,"Nukerke",50.7956,3.5949
9688,"Schorisse",50.8031,3.6763
9690,"Zulzeke",50.7917,3.5705
9700,"Heurne",50.881,3.626
9750,"Huise",50.9006,3.591
9770,"Kruisem",50.9017,3.5259
9771,"Nokere",50.8854,3.5101
9772,"Wannegem-Lede",50.8904,3.5514
9790,"Moregem",50.8507,3.5615
9800,"Sint-Martens-Leerne",51.012,3.606
9810,"Nazareth",51,3.65
9820,"Schelderode",50.9692,3.7133
9830,"Sint-Martens-Latem",51.0146,3.6378
